Date,1_value,2_value,3_value,4_value,5_value,6_value,7_value,8_value,9_value,10_value
20200103_20200103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200103_20200115,-0.0011021255,0.0009169227,-0.0006140002,-0.00022786064,-0.0023449534,-0.0022593604,-0.0011151877,-0.0009692416,-0.0005983773,-0.0025125064
20200103_20200127,-0.00451167,-0.001175612,-0.0017110893,-0.0035272972,-0.005254284,-0.005340862,-0.0034596217,-0.0021814145,-0.0020026981,-0.0033413854
20200103_20200208,-0.00390746,-0.0027509036,-0.0013009035,-0.0045063416,-0.006431857,-0.0062059294,-0.0051357187,-0.004376953,-0.0040966696,-0.005487377
20200103_20200220,-0.002592021,-0.002063142,-0.001004079,-0.0033824078,-0.0022881487,-0.0036392836,-0.0039125127,-0.0029913653,-0.0032703064,-0.0041240505
